COUNTRY,Display Value
HTI,61 000 [50 000-71 000]
HUN, 1 300 [<1000-1 600]
IDN,110 000 [70 000-170 000]
IND,ƒ
ITA,49 000 [38 000-65 000]
JAM,10 000 [8 200-13 000]
JPN, 2 400 [1 800-3 100]
KAZ, 7 900 [7 000-9 700]
LAO, 4 700 [3 600-6 500]
LBN, 1 300 [<1000-1 900]
LBR,12 000 [10 000-16 000]
LKA, 1 400 [1 100-3 400]
MDA, 5 500 [4 600-6 600]
MDG, 9 500 [7 400-13 000]
MDV,<100 [<100-<100]
MEX,32 000 [27 000-35 000]
MOZ,750 000 [670 000-850 000]
MRT,13 000 [7 100-22 000]
MUS, 2 200 [1 500-3 100]
MWI,430 000 [410 000-470 000]
NIC, 5 200 [2 300-13 000]
NLD, 7 500 [5 900-11 000]
NOR, 1 300 [1 000-1 800]
NPL,10 000 [6 500-22 000]
PHL, 3 500 [2 800-4 200]
PNG,12 000 [10 000-14 000]
POL, 9 900 [7 700-13 000]
PRK,ƒ
RWA,110 000 [94 000-130 000]
SDN,22 000 [18 000-28 000]
SEN,28 000 [23 000-34 000]
SGP, 1 000 [<1000-1 300]
SSD,77 000 [52 000-100 000]
STP,<500 [<500-<500]
SUR, 1 700 [1 200-2 600]
SVK,<200 [<200-<200]
THA,200 000 [170 000-220 000]
TJK, 3 500 [2 200-5 800]
TTO, 6 800 [6 100-7 500]
TUN,<500 [<500-<500]
URY, 3 800 [2 100-9 300]
USA,300 000 [210 000-470 000]
UZB,ƒ
VEN,25 000 [14 000-54 000]
ZWE,600 000 [570 000-640 000]
AFG, 1 300 [<1000-3 900]
AGO,120 000 [83 000-180 000]
ARG,35 000 [28 000-44 000]
ARM,<1000 [<1000-2 000]
BEL, 5 700 [4 500-7 300]
BEN,33 000 [29 000-38 000]
BFA,56 000 [50 000-72 000]
BGD,<1000 [<500-1 300]
BRA,200 000 [170 000-230 000]
BRB,<500 [<500-<500]
BTN,<500 [<500-<1000]
BWA,160 000 [150 000-170 000]
CHN,230 600 [173 800-285 100]
CIV,170 000 [150 000-200 000]
CMR,280 000 [260 000-300 000]
COD,ƒ
CRI, 4 300 [3 500-5 100]
CUB, 2 900 [2 500-3 400]
CZE,<1000 [<1000-<1000]
DEU,11 000 [10 000-13 000]
EGY, 1 500 [<1000-2 900]
ERI,12 000 [6 600-27 000]
ESP,35 000 [31 000-39 000]
EST, 3 100 [2 500-3 800]
GAB,24 000 [18 000-35 000]
GBR,29 000 [23 000-36 000]
GEO, 1 200 [<1000-2 000]
GHA,110 000 [95 000-130 000]
GRC, 3 300 [2 800-3 900]
GTM,26 000 [7 100-120 000]
GUY, 2 600 [2 000-3 600]
HND,10 000 [8 100-14 000]
IRL, 2 400 [1 900-3 000]
IRN,13 000 [11 000-16 000]
ISL,<200 [<200-<200]
ISR, 2 600 [2 000-3 500]
KEN,800 000 [760 000-840 000]
KGZ, 4 200 [3 000-6 700]
KHM,31 000 [24 000-49 000]
KOR, 4 200 [3 200-5 400]
LSO,170 000 [160 000-170 000]
LTU,<500 [<500-<1000]
LUX,<500 [<500-<500]
LVA, 2 800 [1 900-3 900]
MAR,15 000 [10 000-22 000]
MLI,55 000 [42 000-71 000]
MLT,<100 [<100-<200]
MMR,77 000 [64 000-87 000]
MNG,<500 [<500-<1000]
MYS, 8 400 [7 400-9 400]
NAM,100 000 [83 000-120 000]
NER,33 000 [29 000-36 000]
NGA,1 700 000 [1 500 000-1 900 000]
NZL,<1000 [<1000-1 100]
OMN,ƒ
PAK,28 000 [17 000-58 000]
PAN, 4 400 [3 000-6 800]
PER,20 000 [9 900-53 000]
PRT,14 000 [11 000-19 000]
PRY, 4 100 [1 900-10 000]
ROU, 4 700 [3 900-5 800]
RUS,ƒ [190 000-350 000]
SLE,27 000 [21 000-38 000]
SLV, 9 800 [4 400-26 000]
SOM,15 000 [9 700-22 000]
SRB,<1000 [<1000-1 100]
SVN,<200 [<200-<500]
SWE, 2 700 [2 200-4 000]
SWZ,100 000 [96 000-110 000]
TCD,100 000 [87 000-140 000]
TGO,73 000 [57 000-92 000]
TUR, 1 600 [1 200-2 200]
TZA,760 000 [700 000-830 000]
UGA,670 000 [640 000-730 000]
UKR,94 000 [71 000-120 000]
