COUNTRY,Value,Low Value,High Value
PAN,4400,3000,6800
PER,20000,9900,53000
PRT,14000,11000,19000
PRY,4100,1900,10000
ROU,4700,3900,5800
RUS,0,190000,350000
SLE,27000,21000,38000
SLV,9800,4400,26000
SOM,15000,9700,22000
SRB,,,
SVN,,,
SWE,2700,2200,4000
SWZ,100000,96000,110000
TCD,100000,87000,140000
TGO,73000,57000,92000
TUR,1600,1200,2200
TZA,760000,700000,830000
UGA,670000,640000,730000
UKR,94000,71000,120000
VNM,48000,37000,66000
YEM,9000,7700,11000
ZAF,2900000,2700000,3000000
ZMB,460000,430000,510000
ARG,,,
ARM,,,
AUS,,,
AUT,,,
BEL,,,
BLZ,,,
BEN,9400,7700,11000
BTN,,,
BFA,23000,20000,30000
BDI,19000,16000,23000
KHM,,,
CMR,60000,51000,70000
CHL,,,
CHN,,,
COL,,,
COM,,,
CZE,,,
PRK,,,
COD,,,
DNK,,,
SLV,,,
GNQ,2600,2100,3600
ERI,4000,2500,7700
EST,,,
GAB,3100,2100,4500
GMB,,,
GEO,,,
DEU,,,
GUY,,,
HTI,13000,11000,16000
HND,,,
HUN,,,
IRL,,,
ISR,,,
ITA,,,
JAM,,,
LAO,,,
LVA,,,
LBN,,,
LSO,41000,37000,47000
LBR,5200,4000,6500
MYS,,,
MDV,,,
MLI,,,
MLT,,,
MAR,,,
MOZ,200000,170000,240000
MMR,,,
NAM,20000,16000,25000
NER,,,
NGA,440000,380000,510000
NOR,,,
OMN,,,
PAK,,,
PHL,,,
POL,,,
PRT,,,
KOR,,,
STP,,,
SEN,,,
SRB,,,
SLE,4300,3400,5400
ZAF,460000,410000,520000
ESP,,,
LKA,,,
SDN,,,
SSD,16000,11000,23000
TJK,,,
THA,,,
TGO,19000,15000,25000
TTO,,,
GBR,,,
TZA,230000,200000,260000
USA,,,
URY,,,
ZWE,200000,180000,230000
AFG,,,
DZA,,,
AGO,34000,24000,50000
AZE,,,
BHS,,,
BGD,,,
BRB,,,
BLR,,,
BOL,,,
BWA,15000,14000,16000
BRA,,,
BGR,,,
CAN,,,
CPV,,,
CAF,20000,19000,20000
TCD,34000,28000,41000
COG,13000,11000,15000
CRI,,,
CIV,61000,53000,70000
HRV,,,
CUB,,,
DJI,1200,,
DOM,,,
ECU,,,
EGY,,,
ETH,180000,160000,210000
FJI,,,
FIN,,,
FRA,,,
GHA,31000,26000,37000
GRC,,,
GTM,,,
GIN,11000,8800,15000
GNB,3100,2500,3900
ISL,,,
IND,,,
IDN,,,
IRN,,,
JPN,,,
KAZ,,,
KEN,220000,190000,250000
KGZ,,,
LTU,,,
LUX,,,
MDG,,,
MWI,170000,150000,200000
MRT,,,
MUS,,,
MEX,,,
MNG,,,
NPL,,,
NLD,,,
NZL,,,
NIC,,,
PAN,,,
PNG,3500,2700,4500
PRY,,,
PER,,,
MDA,,,
ROU,,,
RUS,,,
RWA,27000,22000,32000
SGP,,,
SVK,,,
SVN,,,
SOM,,,
SUR,,,
SWZ,17000,15000,19000
SWE,,,
CHE,,,
TUN,,,
TUR,,,
UGA,190000,170000,220000
UKR,,,
UZB,,,
VEN,,,
VNM,,,
YEM,,,
ZMB,170000,150000,200000
